,Date,Open,High,Low,Close,SharesTraded
0,2003-02-27,1.08,1.09,1.01,1.08,101526000
1,2003-02-28,1.08,1.1,1.07,1.1,93742000
2,2003-03-03,1.11,1.13,1.09,1.09,89606000
3,2003-03-04,1.08,1.12,1.07,1.11,108686000
4,2003-03-05,1.1,1.13,1.1,1.12,103208000
5,2003-03-06,1.12,1.14,1.11,1.13,108548000
6,2003-03-07,1.12,1.15,1.11,1.15,116968000
7,2003-03-10,1.13,1.15,1.13,1.14,88120000
8,2003-03-11,1.14,1.15,1.13,1.14,80682000
9,2003-03-12,1.13,1.17,1.12,1.17,111462000
10,2003-03-13,1.18,1.23,1.16,1.22,224178000
11,2003-03-14,1.23,1.25,1.21,1.24,178156000
12,2003-03-17,1.22,1.34,1.22,1.33,302498000
13,2003-03-18,1.32,1.34,1.3,1.34,174996000
14,2003-03-19,1.32,1.33,1.31,1.33,169620000
15,2003-03-20,1.32,1.38,1.31,1.37,187524000
16,2003-03-21,1.39,1.4,1.35,1.4,213154000
17,2003-03-24,1.35,1.36,1.31,1.31,206810000
18,2003-03-25,1.31,1.35,1.31,1.34,144264000
19,2003-03-26,1.34,1.39,1.34,1.39,147514000
20,2003-03-27,1.38,1.4,1.37,1.39,212842000
21,2003-03-28,1.38,1.4,1.36,1.36,128740000
22,2003-03-31,1.33,1.34,1.3,1.3,184296000
23,2003-04-01,1.28,1.28,1.25,1.28,195480000
24,2003-04-02,1.3,1.32,1.29,1.32,132460000
25,2003-04-03,1.33,1.35,1.3,1.33,146488000
26,2003-04-04,1.34,1.34,1.3,1.31,121456000
27,2003-04-07,1.36,1.38,1.34,1.34,144608000
28,2003-04-08,1.34,1.34,1.32,1.33,108072000
29,2003-04-09,1.32,1.32,1.24,1.25,239178000
30,2003-04-10,1.27,1.3,1.24,1.28,186224000
31,2003-04-11,1.29,1.31,1.27,1.29,137980000
32,2003-04-14,1.24,1.26,1.23,1.25,208342000
33,2003-04-15,1.24,1.27,1.24,1.26,126828000
34,2003-04-16,1.27,1.27,1.21,1.22,185890000
35,2003-04-17,1.22,1.25,1.22,1.25,135798000
36,2003-04-21,1.25,1.31,1.25,1.26,142646000
37,2003-04-22,1.25,1.28,1.24,1.28,137372000
38,2003-04-23,1.32,1.33,1.27,1.27,177002000
39,2003-04-24,1.27,1.34,1.24,1.26,352066000
40,2003-04-25,1.4,1.45,1.39,1.45,799448000
41,2003-04-28,1.43,1.46,1.43,1.46,316020000
42,2003-04-29,1.45,1.45,1.43,1.44,210528000
43,2003-04-30,1.43,1.45,1.42,1.43,189000000
44,2003-05-01,1.43,1.44,1.41,1.43,153784000
45,2003-05-02,1.43,1.47,1.43,1.47,197688000
46,2003-05-05,1.47,1.5,1.45,1.5,222726000
47,2003-05-06,1.49,1.56,1.49,1.54,279248000
48,2003-05-07,1.53,1.54,1.5,1.54,207036000
49,2003-05-08,1.52,1.54,1.51,1.52,170270000
50,2003-05-09,1.52,1.55,1.51,1.55,119634000
51,2003-05-12,1.54,1.59,1.53,1.58,144938000
52,2003-05-13,1.58,1.67,1.57,1.65,316890000
53,2003-05-14,1.66,1.66,1.62,1.63,159864000
54,2003-05-15,1.63,1.64,1.61,1.63,103846000
55,2003-05-16,1.63,1.66,1.62,1.65,152882000
56,2003-05-19,1.64,1.65,1.57,1.58,195270000
57,2003-05-20,1.58,1.61,1.56,1.57,161324000
58,2003-05-21,1.57,1.59,1.56,1.59,104006000
59,2003-05-22,1.59,1.66,1.56,1.65,169798000
60,2003-05-23,1.65,1.65,1.62,1.64,141264000
61,2003-05-27,1.63,1.75,1.62,1.74,244508000
62,2003-05-28,1.74,1.79,1.73,1.74,181062000
63,2003-05-29,1.74,1.8,1.74,1.78,186832000
64,2003-05-30,1.78,1.8,1.75,1.79,203806000
65,2003-06-02,1.83,1.83,1.77,1.77,191054000
66,2003-06-03,1.74,1.77,1.73,1.76,201918000
67,2003-06-04,1.75,1.78,1.74,1.77,186668000
68,2003-06-05,1.76,1.79,1.73,1.78,143874000
69,2003-06-06,1.8,1.81,1.66,1.67,227618000
70,2003-06-09,1.72,1.72,1.65,1.68,168768000
71,2003-06-10,1.7,1.72,1.64,1.7,193272000
72,2003-06-11,1.7,1.74,1.68,1.73,154928000
73,2003-06-12,1.76,1.77,1.74,1.76,140650000
74,2003-06-13,1.77,1.77,1.7,1.71,120236000
75,2003-06-16,1.73,1.79,1.7,1.79,142558000
76,2003-06-17,1.8,1.82,1.76,1.79,164998000
77,2003-06-18,1.78,1.86,1.77,1.79,224136000
78,2003-06-19,1.79,1.84,1.77,1.78,119762000
