,Open,High,Low,Close,SharesTraded,Date
0,23.9,24.21,23.3,23.58,75434304,2003-02-27
1,23.74,24.07,23.55,23.7,56585400,2003-02-28
2,24.02,24.12,23.4,23.54,50653500,2003-03-03
3,23.58,23.66,23.06,23.07,56605700,2003-03-04
4,23.07,23.55,23.05,23.44,55415900,2003-03-05
5,23.17,23.5,23.13,23.27,54607600,2003-03-06
6,22.95,23.79,22.9,23.56,66167600,2003-03-07
7,23.31,23.46,22.89,22.95,48413600,2003-03-10
8,23.06,23.26,22.76,22.8,53990700,2003-03-11
9,22.81,23.44,22.55,23.39,72379504,2003-03-12
10,23.72,24.74,23.44,24.67,80701296,2003-03-13
11,24.68,24.96,24.26,24.86,75451400,2003-03-14
12,24.52,25.95,24.33,25.93,100983800,2003-03-17
13,25.89,26.04,25.5,26.04,78108800,2003-03-18
14,25.98,26.43,25.74,26.32,73652096,2003-03-19
15,26.02,26.52,25.67,26.25,71798496,2003-03-20
16,26.75,26.8,26.03,26.57,85586800,2003-03-21
17,25.55,25.93,25.18,25.29,61105200,2003-03-24
18,25.6,25.75,25.03,25.49,63595100,2003-03-25
19,25.46,25.62,25.24,25.25,51673600,2003-03-26
20,24.94,25.26,24.59,25.04,60043300,2003-03-27
21,24.67,25.1,24.6,24.67,39584600,2003-03-28
22,24.25,24.71,24.01,24.21,71384000,2003-03-31
23,24.46,24.7,24.25,24.35,49803200,2003-04-01
24,25.1,26.0,25.1,25.72,68282496,2003-04-02
25,25.99,26.09,25.6,25.73,57394300,2003-04-03
26,25.76,25.8,24.93,25.09,55740600,2003-04-04
27,26.23,26.43,25.17,25.17,65627100,2003-04-07
28,25.31,25.83,25.2,25.58,54132100,2003-04-08
29,25.61,25.67,24.54,24.57,76875800,2003-04-09
30,24.71,24.79,24.28,24.59,51608900,2003-04-10
31,24.89,25.18,23.95,24.2,71565504,2003-04-11
32,24.27,24.88,24.0,24.76,51599600,2003-04-14
33,24.68,24.79,24.1,24.6,63399000,2003-04-15
34,25.6,25.74,24.6,24.92,86178704,2003-04-16
35,24.77,25.54,24.74,25.5,58356600,2003-04-17
36,25.61,25.61,25.08,25.21,41557800,2003-04-21
37,25.06,25.8,25.03,25.76,58844000,2003-04-22
38,25.75,25.99,25.47,25.72,55559300,2003-04-23
39,25.48,25.72,25.32,25.49,51703600,2003-04-24
40,25.33,25.64,25.17,25.22,53657400,2003-04-25
41,25.39,25.94,25.32,25.74,56287600,2003-04-28
42,25.95,26.25,25.68,25.8,65877300,2003-04-29
43,25.73,25.88,25.25,25.57,55566800,2003-04-30
44,25.54,25.95,25.34,25.72,42085800,2003-05-01
45,25.65,26.29,25.56,26.1,52695400,2003-05-02
46,26.25,26.39,25.84,25.86,50391500,2003-05-05
47,25.86,26.5,25.82,26.37,54299500,2003-05-06
48,26.11,26.35,25.84,25.99,49120000,2003-05-07
